latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
30.40761,76.35004,332.35,0.47,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,300.15,7.73,D
30.42287,73.63817,342.33,0.43,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,304.96,7.12,D
30.42851,76.00053,334.05,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,300.93,3.75,D
30.42924,73.66888,338.56,0.43,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,304.14,5.5,D
30.43217,75.99963,334.23,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,299.64,3.75,D
30.45354,75.20616,330.31,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.39,3.1,D
30.45604,76.26873,330.03,0.47,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,302.24,2.73,D
30.45997,76.34741,330.15,0.47,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,302.5,2.81,D
30.46316,75.52518,330.49,0.51,0.41,2025-11-01,748,N,VIIRS,l,2.0NRT,302.08,4.47,D
30.46417,75.53046,332.96,0.51,0.41,2025-11-01,748,N,VIIRS,l,2.0NRT,303.17,6.84,D
30.46589,74.40409,332.88,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.62,2.61,D
30.46975,76.38051,344.2,0.47,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,304.77,12.67,D
30.47629,75.75687,341.41,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,304.07,3.85,D
30.47975,75.75858,334.75,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,303.76,8.43,D
30.47999,75.75594,332.57,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.77,3.85,D
30.48212,73.96743,340.5,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.06,3.37,D
30.48632,73.84082,337.26,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.39,3.2,D
30.49865,73.77395,340.76,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.69,6.12,D
30.5386,76.09886,332.97,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,300.86,4.09,D
30.53874,74.26604,334.39,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.47,2.63,D
30.5406,76.0956,332.33,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,300.41,1.75,D
30.54127,73.80447,343,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.23,4.34,D
30.54193,75.18201,332.74,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,301.44,1.73,D
30.55725,74.29521,348.48,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,303.13,6.64,D
30.55786,73.75909,333.55,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.11,3.22,D
30.55806,74.29926,339.86,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.01,6.64,D
30.56704,76.80933,333.23,0.45,0.39,2025-11-01,748,N,VIIRS,n,2.0NRT,300.98,3.44,D
30.60378,75.6906,332.75,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.5,2.73,D
30.60798,74.89408,338.31,0.55,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.75,5.99,D
30.61134,75.9135,335.83,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,303.9,9.12,D
30.61412,75.91475,333.86,0.49,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,304.53,8.11,D
30.61916,73.86892,354.26,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,307,12.26,D
30.62323,73.86781,342.41,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.43,4.53,D
30.65825,75.09197,333.37,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,300.61,3.78,D
30.66378,73.88875,346.48,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,305.53,8.52,D
30.66844,74.02856,330.26,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.9,1.99,D
30.67232,75.43455,339.82,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,303.06,7.72,D
30.68325,73.87902,340.39,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,304.59,5.77,D
30.69398,74.03527,331.53,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,303.04,2.32,D
30.71808,76.42236,332.44,0.46,0.39,2025-11-01,748,N,VIIRS,n,2.0NRT,299.95,4.08,D
30.72872,74.72679,333.39,0.55,0.43,2025-11-01,748,N,VIIRS,l,2.0NRT,303.49,6.45,D
30.77884,73.68336,335.87,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.14,4.62,D
30.78192,73.84515,330.04,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,301.81,2.21,D
30.78294,73.68224,338.32,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,301.86,4.62,D
30.78383,73.68657,342.79,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.78,4.62,D
30.81721,73.31896,333.94,0.44,0.46,2025-11-01,748,N,VIIRS,n,2.0NRT,301.8,2.63,D
30.83092,75.32771,334.87,0.52,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,301.66,3.67,D
30.83217,75.32955,335.86,0.52,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.46,3.75,D
30.84397,74.52982,348.71,0.57,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,305.61,13.87,D
30.85879,74.9774,333.74,0.54,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,304.64,4.02,D
30.86481,75.3805,342.07,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.19,6.56,D
30.86521,75.52631,332.14,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.74,2.5,D
30.91603,74.21436,330.46,0.39,0.44,2025-11-01,748,N,VIIRS,l,2.0NRT,303.39,12.33,D
30.91684,74.2184,340.17,0.39,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.11,12.8,D
30.92351,74.89372,332.4,0.54,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,300.95,3.56,D
30.92825,73.92124,332.57,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,302.2,3.73,D
30.92861,76.2991,338.64,0.47,0.39,2025-11-01,748,N,VIIRS,n,2.0NRT,299.82,4.44,D
30.93229,73.92015,340.38,0.4,0.44,2025-11-01,748,N,VIIRS,n,2.0NRT,301.77,3.73,D
30.93928,75.20139,333.07,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,301.12,3.58,D
30.94769,73.56541,332.75,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,301.18,2.03,D
30.96497,75.4325,333.6,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.78,3.15,D
30.96862,75.4344,343.18,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,300.98,7.82,D
30.98051,75.41479,330.73,0.51,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,301.22,2.42,D
30.99042,75.879,332.6,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,300.65,7.31,D
30.99152,75.59552,330.77,0.5,0.41,2025-11-01,748,N,VIIRS,l,2.0NRT,302.09,4.29,D
31.01486,76.19395,336.67,0.47,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,299.3,3.84,D
31.04579,74.64972,337.4,0.55,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,302.04,8.95,D
31.07465,75.00456,342.06,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.89,4.74,D
31.10323,74.56796,333.41,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,302.85,3.73,D
31.113,73.36916,330.36,0.43,0.46,2025-11-01,748,N,VIIRS,l,2.0NRT,302.09,1.4,D
31.11339,73.67104,345.06,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,301.86,5.77,D
31.11834,73.67421,341.57,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.08,8.6,D
31.12656,74.56586,346.97,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,304.37,11.67,D
31.1277,74.56756,344.44,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,303.6,12.02,D
31.15346,73.47906,336.96,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.33,2.06,D
31.15637,74.75592,332.66,0.54,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,302.13,3.66,D
31.15641,74.75806,336.53,0.54,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,301.44,7.68,D
31.16195,74.93286,342.02,0.53,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,303,9.91,D
31.16704,74.54295,340.65,0.56,0.43,2025-11-01,748,N,VIIRS,n,2.0NRT,300.9,7.05,D
31.16814,75.10963,333.4,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,301.82,2.45,D
31.17661,74.71493,337.63,0.55,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,301.91,3.81,D
31.18879,73.89536,330.9,0.4,0.44,2025-11-01,748,N,VIIRS,l,2.0NRT,301.21,2.32,D
31.19324,74.75814,330.37,0.54,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,303.76,1.69,D
31.19876,73.57223,332.7,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,301.22,2.02,D
31.2245,75.13474,331.26,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,300.96,4.67,D
31.22553,75.14014,333.91,0.52,0.42,2025-11-01,748,N,VIIRS,n,2.0NRT,303.58,4.67,D
31.22763,75.13725,341.14,0.52,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,302.17,9.85,D
31.23875,73.52998,330.02,0.42,0.45,2025-11-01,748,N,VIIRS,l,2.0NRT,301.32,2.99,D
31.24172,73.52827,340.35,0.42,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.04,5.25,D
31.24875,75.90885,337.17,0.48,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,301.12,3.44,D
31.25354,73.69291,355.01,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,303.89,7.4,D
31.25523,76.0059,334.05,0.47,0.4,2025-11-01,748,N,VIIRS,n,2.0NRT,301.39,2.76,D
31.25908,73.67789,344.5,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,304.18,3.66,D
31.25916,73.76289,338.78,0.41,0.45,2025-11-01,748,N,VIIRS,n,2.0NRT,302.34,3.76,D
31.26146,75.55734,332.6,0.5,0.41,2025-11-01,748,N,VIIRS,n,2.0NRT,301.37,2.99,D
